948856852	20200927	202009	2020	2020.7315											ELI	ACTOR						ELI			0	040	040	04	1	1.0	2	1	2	-2.87648054145516	0							4	Ballard Estate, Maharashtra, India	IN	IN16	18.9333	72.8333	-2089952	4	Ballard Estate, Maharashtra, India	IN	IN16	18.9333	72.8333	-2089952	20200927	https://www.freepressjournal.in/mumbai/agency-interrogates-deepika-sara-and-shraddha-over-alleged-drugs-chats
948856853	20200927	202009	2020	2020.7315											ELI	ACTOR						ELI			0	040	040	04	1	1.0	8	1	8	-2.87648054145516	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200927	https://www.freepressjournal.in/mumbai/agency-interrogates-deepika-sara-and-shraddha-over-alleged-drugs-chats
948857050	20200927	202009	2020	2020.7315	AUS	MELBOURNE	AUS								COP	POLICE						COP			0	0831	083	08	2	5.0	96	43	96	-4.14383059902628	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	4	Melbourne, Victoria, Australia	AS	AS07	-37.8167	144.967	-1586844	20200927	https://roanoke.com/news/world/the-latest-hawaii-to-take-over-veterans-home-where-26-died/article_8576dd1b-2ef5-59fa-b5fd-174ef1cf3e02.html
948857064	20200927	202009	2020	2020.7315	AUS	AUSTRALIA	AUS								USA	UNITED STATES	USA								1	020	020	02	1	3.0	7	4	7	-1.58563204912553	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200927	https://manilastandardtoday.com/news/world-news/335242/india-s-vaccine-capacity-will-help-all-humanity-modi.html
948857190	20200927	202009	2020	2020.7315	COP	DEPUTY						COP													0	010	010	01	1	0.0	10	1	10	-3.16742081447964	4	Kedarnath, Uttaranchal, India	IN	IN39	30.7333	79.0667	-2100216	0							4	Kedarnath, Uttaranchal, India	IN	IN39	30.7333	79.0667	-2100216	20200927	https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/deepika-sara-shraddha-and-rakul-surrender-mobiles-to-ncb/articleshow/78342341.cms
948857202	20200927	202009	2020	2020.7315	COP	DEPUTY						COP													0	090	090	09	2	-2.0	2	1	2	-3.16742081447964	4	Kedarnath, Uttaranchal, India	IN	IN39	30.7333	79.0667	-2100216	0							4	Kedarnath, Uttaranchal, India	IN	IN39	30.7333	79.0667	-2100216	20200927	https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/deepika-sara-shraddha-and-rakul-surrender-mobiles-to-ncb/articleshow/78342341.cms
948857223	20200927	202009	2020	2020.7315	COP	POLICE						COP			HIN	HINDU				HIN					0	010	010	01	1	0.0	5	1	5	-2.36220472440944	4	Rapar, Gujarat, India	IN	IN09	23.5667	70.6333	-2109189	4	Rapar, Gujarat, India	IN	IN09	23.5667	70.6333	-2109189	4	Rapar, Gujarat, India	IN	IN09	23.5667	70.6333	-2109189	20200927	https://www.thehindu.com/news/national/other-states/dalit-lawyer-killed-in-kutch/article32705502.ece
948857224	20200927	202009	2020	2020.7315	COP	DEPUTY						COP			JAN	JAIN				JAN					0	090	090	09	2	-2.0	8	1	8	-3.16742081447964	4	Kedarnath, Uttaranchal, India	IN	IN39	30.7333	79.0667	-2100216	4	Kedarnath, Uttaranchal, India	IN	IN39	30.7333	79.0667	-2100216	4	Kedarnath, Uttaranchal, India	IN	IN39	30.7333	79.0667	-2100216	20200927	https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/deepika-sara-shraddha-and-rakul-surrender-mobiles-to-ncb/articleshow/78342341.cms
948857228	20200927	202009	2020	2020.7315	COP	POLICE						COP			MED	MEDIA						MED			1	020	020	02	1	3.0	45	5	45	-4.07420681154882	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200927	https://www.freepressjournal.in/mumbai/agency-interrogates-deepika-sara-and-shraddha-over-alleged-drugs-chats
948857229	20200927	202009	2020	2020.7315	COP	POLICE						COP			MED	MEDIA						MED			0	020	020	02	1	3.0	1	1	1	-2.87648054145516	4	Dharma, India (general), India	IN	IN00	14.85	75.2667	-2094675	4	Dharma, India (general), India	IN	IN00	14.85	75.2667	-2094675	4	Dharma, India (general), India	IN	IN00	14.85	75.2667	-2094675	20200927	https://www.freepressjournal.in/mumbai/agency-interrogates-deepika-sara-and-shraddha-over-alleged-drugs-chats
