947439388	20200918	202009	2020	2020.7068	JUD	COUNSEL						JUD													1	010	010	01	1	0.0	10	1	10	0.49342105263158	4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	0							4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	20200919	https://indiankanoon.org/doc/18357213/
947439395	20200919	202009	2020	2020.7096											AFG	AFGHANISTAN	AFG								0	100	100	10	3	-5.0	5	1	5	-0.24330900243309	0							4	Vaishali, Bihar, India	IN	IN34	25.75	85.4167	-2114089	4	Vaishali, Bihar, India	IN	IN34	25.75	85.4167	-2114089	20200919	https://timesofindia.indiatimes.com/city/patna/work-to-start-on-raghuvanshs-proposals-soon-says-minister/articleshow/78194804.cms
947439471	20200919	202009	2020	2020.7096											CVL	COMMUNITY						CVL			0	046	046	04	1	7.0	3	1	3	1.52582159624413	0							4	Amritsar, Punjab, India	IN	IN23	31.6331	74.8656	-2088794	3	Berkeley, California, United States	US	USCA	37.8716	-122.273	1658037	20200919	https://www.indiawest.com/news/global_indian/berkeley-california-street-named-for-pioneering-indian-american-woman-kala-bagai/article_2578d426-f97c-11ea-a838-b39f7e37d5fd.html
947439520	20200919	202009	2020	2020.7096											GOV	GOVERNMENT						GOV			0	042	042	04	1	1.9	4	1	4	-0.79316656497865	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200919	https://indiankanoon.org/doc/139955679/
947439531	20200919	202009	2020	2020.7096											GOV	GOVERNMENT						GOV			1	130	130	13	3	-4.4	14	3	14	-2.73174019263711	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200919	https://indiankanoon.org/doc/139955679/
947439536	20200919	202009	2020	2020.7096											GOVEDU	GOVERNMENT						GOV	EDU		0	043	043	04	1	2.8	10	1	10	-0.79316656497865	0							4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	20200919	https://indiankanoon.org/doc/139955679/
947439548	20200919	202009	2020	2020.7096											IND	BIHAR	IND								0	020	020	02	1	3.0	60	1	60	-2.90532033662757	0							4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	20200919	https://indiankanoon.org/doc/171504250/
947439549	20200919	202009	2020	2020.7096											IND	BIHAR	IND								1	042	042	04	1	1.9	62	2	62	-2.22974483043978	0							4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	20200919	https://indiankanoon.org/doc/171504250/
947439563	20200919	202009	2020	2020.7096											JUD	COUNSEL						JUD			1	043	043	04	1	2.8	4	1	4	-0.66050198150595	0							4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	25.1833	85.5167	-2091797	20200919	https://indiankanoon.org/doc/92591879/
947439564	20200919	202009	2020	2020.7096											JUD	COUNSEL						JUD			1	043	043	04	1	2.8	6	1	6	-0.66050198150595	0							4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	20200919	https://indiankanoon.org/doc/92591879/
