948550120	20200925	202009	2020	2020.7260	COP	POLICE PERSONNEL						COP			CRM	DRUG PEDDLER						CRM			1	090	090	09	2	-2.0	8	2	8	-9.78260869565217	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.aninews.in/news/national/general-news/four-delhi-cops-suspended-for-misreporting-seized-cannabis20200925034650/
948550131	20200925	202009	2020	2020.7260	COP	POLICE						COP			GOV	ADMINISTRATION						GOV			1	112	112	11	3	-2.0	20	2	20	-0.551724137931035	5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	27.25	80.75	-2113996	5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	27.25	80.75	-2113996	5	Uttar Pradesh, Uttar Pradesh, India	IN	IN36	27.25	80.75	-2113996	20200925	https://timesofindia.indiatimes.com/city/allahabad/no-one-should-be-seen-in-public-sans-masks-hc/articleshow/78301891.cms
948550415	20200925	202009	2020	2020.7260	GBR	BRITAIN	GBR																		1	043	043	04	1	2.8	6	2	6	-4.04495325806153	1	United Kingdom	UK	UK	54	-4	UK	0							4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	20200925	https://www.channelstv.com/2020/09/24/nigeria-confirms-125-fresh-covid-19-cases/
948550437	20200925	202009	2020	2020.7260	GBR	BRITAIN	GBR								GBRGOV	DOWNING STREET	GBR					GOV			1	043	043	04	1	2.8	6	2	6	-4.04495325806153	1	United Kingdom	UK	UK	54	-4	UK	4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	20200925	https://www.channelstv.com/2020/09/24/nigeria-confirms-125-fresh-covid-19-cases/
948550458	20200925	202009	2020	2020.7260	GBRGOV	BRITAIN	GBR					GOV													1	043	043	04	1	2.8	9	2	9	-4.04495325806153	1	United Kingdom	UK	UK	54	-4	UK	0							4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	20200925	https://www.channelstv.com/2020/09/24/nigeria-confirms-125-fresh-covid-19-cases/
948550461	20200925	202009	2020	2020.7260	GBRGOV	DOWNING STREET	GBR					GOV			GBR	BRITAIN	GBR								1	042	042	04	1	1.9	6	2	6	-4.04495325806153	4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	1	United Kingdom	UK	UK	54	-4	UK	4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	20200925	https://www.channelstv.com/2020/09/24/nigeria-confirms-125-fresh-covid-19-cases/
948550462	20200925	202009	2020	2020.7260	GBRGOV	DOWNING STREET	GBR					GOV			GBRGOV	BRITAIN	GBR					GOV			1	042	042	04	1	1.9	9	2	9	-4.04495325806153	4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	1	United Kingdom	UK	UK	54	-4	UK	4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	20200925	https://www.channelstv.com/2020/09/24/nigeria-confirms-125-fresh-covid-19-cases/
948550463	20200925	202009	2020	2020.7260	GBRGOV	BRITAIN	GBR					GOV			GBRGOV	DOWNING STREET	GBR					GOV			1	043	043	04	1	2.8	9	2	9	-4.04495325806153	1	United Kingdom	UK	UK	54	-4	UK	4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	4	Sunak, Gujarat, India	IN	IN09	23.6167	73.2833	-2112154	20200925	https://www.channelstv.com/2020/09/24/nigeria-confirms-125-fresh-covid-19-cases/
948550490	20200925	202009	2020	2020.7260	GOV	GOVERNMENT						GOV													0	013	013	01	1	0.4	10	1	10	-1.13314447592068	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	0							4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	20200925	https://www.telegraphindia.com/west-bengal/mamata-announces-durga-puja-package-for-organisers/cid/1792994
948550526	20200925	202009	2020	2020.7260	GOV	PRESIDENT						GOV													1	042	042	04	1	1.9	14	3	14	-0.400403235650373	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550564	20200925	202009	2020	2020.7260	GOV	MINIST						GOV													0	0874	087	08	2	10.0	6	1	6	-1.26315789473685	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550565	20200925	202009	2020	2020.7260	GOV	MINIST						GOV													0	0874	087	08	2	10.0	4	1	4	-1.26315789473685	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	0							4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550566	20200925	202009	2020	2020.7260	GOV	GOVERNMENT						GOV													0	111	111	11	3	-2.0	10	1	10	-1.26315789473685	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	0							4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550570	20200925	202009	2020	2020.7260	GOV	GOVERNMENT						GOV													0	112	112	11	3	-2.0	10	1	10	-1.26315789473685	4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	0							4	Manipur, Uttar Pradesh, India	IN	IN36	27.0529	79.3583	10452605	20200925	https://www.telegraphindia.com/north-east/manipur-cm-axes-6-ministers-inducts-5/cid/1792983
948550602	20200925	202009	2020	2020.7260	GOV	GOVERNMENT						GOV			COP	POLICE						COP			1	020	020	02	1	3.0	10	1	10	-1.13314447592068	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	20200925	https://www.telegraphindia.com/west-bengal/mamata-announces-durga-puja-package-for-organisers/cid/1792994
948550604	20200925	202009	2020	2020.7260	GOV	GOVERNMENT						GOV			COP	POLICE						COP			1	080	080	08	2	5.0	10	1	10	-1.13314447592068	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	4	Calcutta, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	20200925	https://www.telegraphindia.com/west-bengal/mamata-announces-durga-puja-package-for-organisers/cid/1792994
948550612	20200925	202009	2020	2020.7260	GOV	GOVERNMENT						GOV			CVL	COMMUNITY						CVL			0	010	010	01	1	0.0	20	2	20	0	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200925	https://www.mexicostar.com/news/266499344/nmc-comes-into-force-from-today-repeals-indian-medical-council-act
