946566357	20200915	202009	2020	2020.6986											BUS	COMPANY						BUS			1	020	020	02	1	3.0	10	1	10	0.67178502879079	0							4	Pune, Maharashtra, India	IN	IN16	18.5333	73.8667	-2108361	4	Pune, Maharashtra, India	IN	IN16	18.5333	73.8667	-2108361	20200915	https://www.texasguardian.com/news/266399348/active-pharmaceutical-ingredient-market-to-reach-usd-26128-billion-by-2026-rising-demand-for-biosimilar--biologics-to-drive-growth-fortune-business-insightstrade
946566473	20200915	202009	2020	2020.6986											GBR	LONDON	GBR								1	042	042	04	1	1.9	2	1	2	-1.23456790123457	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200915	https://english.newsnationtv.com/states/uttar-pradesh/up-cm-yogi-ordered-the-name-of-mughal-museum-after-shivaji-158088.html
946566501	20200915	202009	2020	2020.6986											GOV	CHIEF MINISTER						GOV			1	040	040	04	1	1.0	8	1	8	0.26737967914438	0							4	Firozabad, Uttar Pradesh, India	IN	IN36	27.15	78.4167	-2095645	4	Firozabad, Uttar Pradesh, India	IN	IN36	27.15	78.4167	-2095645	20200915	https://indianexpress.com/article/cities/lucknow/how-can-mughals-be-our-heroes-says-up-cm-as-he-renames-mughal-museum-near-taj-after-shivaji-6596317/
946566502	20200915	202009	2020	2020.6986											GOV	CHIEF MINISTER						GOV			1	040	040	04	1	1.0	2	1	2	0.26737967914438	0							4	Mainpuri, Uttar Pradesh, India	IN	IN36	27.2333	79.0167	-2103277	4	Mainpuri, Uttar Pradesh, India	IN	IN36	27.2333	79.0167	-2103277	20200915	https://indianexpress.com/article/cities/lucknow/how-can-mughals-be-our-heroes-says-up-cm-as-he-renames-mughal-museum-near-taj-after-shivaji-6596317/
946566559	20200915	202009	2020	2020.6986											IND	DELHI	IND								0	141	141	14	3	-6.5	12	2	12	-6.91078763219616	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200915	https://www.arabnews.com/node/1734691/world
946566583	20200915	202009	2020	2020.6986											LAB	WORKER						LAB			0	1123	112	11	3	-2.0	7	1	7	-7.43034055727554	0							4	Hooghly, West Bengal, India	IN	IN28	22.8956	88.4025	-2097634	4	Hooghly, West Bengal, India	IN	IN28	22.8956	88.4025	-2097634	20200915	https://indianexpress.com/article/cities/kolkata/bengal-another-bjp-worker-found-dead-party-blames-trinamool-6596334/
946566584	20200915	202009	2020	2020.6986											LAB	WORKER						LAB			0	1123	112	11	3	-2.0	3	1	3	-7.43034055727554	0							4	Jalpaiguri, West Bengal, India	IN	IN28	26.5167	88.7333	-2098161	4	Jalpaiguri, West Bengal, India	IN	IN28	26.5167	88.7333	-2098161	20200915	https://indianexpress.com/article/cities/kolkata/bengal-another-bjp-worker-found-dead-party-blames-trinamool-6596334/
946566591	20200915	202009	2020	2020.6986											LEG	PARLIAMENT						LEG			0	040	040	04	1	1.0	10	1	10	-0.98730606488011	0							1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200915	https://indianexpress.com/article/india/pm-modi-sets-tone-govt-skirts-china-economy-on-day-1-of-parliament-6596309/
946566621	20200915	202009	2020	2020.6986											PTY	POLITICIAN									1	051	051	05	1	3.4	3	1	3	-3.07941653160454	0							4	Bengaluru, Karnataka, India	IN	IN19	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	12.9833	77.5833	-2090174	20200915	https://indianexpress.com/article/india/ima-ponzi-scam-cbi-gets-state-nod-to-press-charges-against-2-ips-officers-6596324/
946567006	20200915	202009	2020	2020.6986	BUS	COMPANIES						BUS													0	071	071	07	2	7.4	2	1	2	2.83159463487333	4	Pune, Maharashtra, India	IN	IN16	18.5333	73.8667	-2108361	0							4	Pune, Maharashtra, India	IN	IN16	18.5333	73.8667	-2108361	20200915	https://www.texasguardian.com/news/266399349/cosmetic-dentistry-market-to-exhibit-a-decent-cagr-of-80-to-reach-usd-4306-billion-by-2026-rising-inclination-towards-dental-aesthetics-to-spur-demand-states-fortune-business-insightstrade
