946792087	20200916	202009	2020	2020.7014											CHN	CHINA	CHN								0	036	036	03	1	4.0	2	1	2	0.22641509433962	0							4	Kongka La, Xizang, China	CH	CH14	34.3	78.9	11270488	4	Pangong, India (general), India	IN	IN00	33.6214	78.6734	-1897937	20200916	https://indianexpress.com/article/india/pullback-peace-if-china-sticks-to-jaishankar-wang-pact-govt-in-lok-sabha-6597645/
946792109	20200916	202009	2020	2020.7014											COP	POLICE						COP			1	173	173	17	4	-5.0	21	6	21	-4.99465933222428	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200916	https://indianexpress.com/article/cities/delhi/guided-by-facts-not-personalities-police-chief-on-riots-probe-6597628/
946792127	20200916	202009	2020	2020.7014											CVL	ENGINEER						CVL			1	173	173	17	4	-5.0	10	1	10	-2.72108843537415	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200916	https://indianexpress.com/article/india/supreme-court-grants-former-punjab-dgp-interim-protection-from-arrest-6597623/
946792186	20200916	202009	2020	2020.7014											GOV	GOVERNMENT						GOV			0	043	043	04	1	2.8	8	1	8	-4.00582665695557	0							5	Kashmir, Jammu and Kashmir, India	IN	IN12	33.9167	76.6667	-2098229	5	Kashmir, Jammu and Kashmir, India	IN	IN12	33.9167	76.6667	-2098229	20200916	https://kashmirreader.com/2020/09/16/the-agrarian-crisis-in-kashmir/
946792204	20200916	202009	2020	2020.7014											HIN	HINDU				HIN					1	112	112	11	3	-2.0	5	1	5	-9.43396226415091	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200916	https://indianexpress.com/article/cities/delhi/woman-accused-of-defaming-gods-police-say-no-case-made-out-6597638/
946792206	20200916	202009	2020	2020.7014											HLH	DOCTOR						HLH			0	040	040	04	1	1.0	12	1	8	-1.94300518134715	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200916	https://indianexpress.com/article/cities/mumbai/over-20-decline-in-isolation-icu-beds-in-mumbai-over-last-month-6597657/
946792207	20200916	202009	2020	2020.7014											HLH	DOCTOR						HLH			0	040	040	04	1	1.0	2	1	2	-1.94300518134715	0							4	Jogeshwari, Maharashtra, India	IN	IN16	19.8167	75.2	-2098697	4	Jogeshwari, Maharashtra, India	IN	IN16	19.8167	75.2	-2098697	20200916	https://indianexpress.com/article/cities/mumbai/over-20-decline-in-isolation-icu-beds-in-mumbai-over-last-month-6597657/
946792208	20200916	202009	2020	2020.7014											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	20	2	20	-11.5824392998306	0							4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	20200916	https://www.thehindu.com/news/cities/kolkata/charges-framed-against-actor-vikram-chatterjee-in-model-sonika-death-case/article32615874.ece
946792218	20200916	202009	2020	2020.7014											IND	KOLKATA	IND								1	042	042	04	1	1.9	23	6	20	-3.49388731110834	0							4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	4	Kolkata, West Bengal, India	IN	IN28	22.5697	88.3697	-2092511	20200916	https://www.thehindu.com/news/cities/kolkata/charges-framed-against-actor-vikram-chatterjee-in-model-sonika-death-case/article32615874.ece
946792219	20200916	202009	2020	2020.7014											IND	DELHI	IND								1	112	112	11	3	-2.0	12	7	12	-8.98492773919687	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20200916	https://indianexpress.com/article/cities/delhi/woman-accused-of-defaming-gods-police-say-no-case-made-out-6597638/
946792475	20200916	202009	2020	2020.7014	AGR	AGRICULTURALIST						AGR													0	120	120	12	3	-4.0	10	1	10	-4.00582665695557	5	Kashmir, Jammu and Kashmir, India	IN	IN12	33.9167	76.6667	-2098229	0							5	Kashmir, Jammu and Kashmir, India	IN	IN12	33.9167	76.6667	-2098229	20200916	https://kashmirreader.com/2020/09/16/the-agrarian-crisis-in-kashmir/
