948986952	20200928	202009	2020	2020.7342											IGOUNO	THE SECURITY COUNCIL		UNO				IGO			1	020	020	02	1	3.0	8	2	8	-5.61460506968841	0							4	Pangong, India (general), India	IN	IN00	33.6214	78.6734	-1897937	4	Pangong, India (general), India	IN	IN00	33.6214	78.6734	-1897937	20200928	https://www.theglobeandmail.com/world/article-at-un-india-vows-to-help-produce-virus-vaccine-for-world-2/
948986954	20200928	202009	2020	2020.7342											IND	MUMBAI	IND								1	043	043	04	1	2.8	54	17	54	-2.35905684020062	0							4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	4	Mumbai, Maharashtra, India	IN	IN16	18.975	72.8258	-2092174	20200928	http://www.saharasamay.com/nation-news/676626723/ex-bihar-police-chief-gupteshwar-pandey-joins-jd-u.html
948986955	20200928	202009	2020	2020.7342											IND	MUMBAI	IND								1	043	043	04	1	2.8	5	2	5	-0.298902030138906	0							4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	4	Patna, Bihar, India	IN	IN34	25.6	85.1167	-2107500	20200928	http://www.saharasamay.com/nation-news/676626723/ex-bihar-police-chief-gupteshwar-pandey-joins-jd-u.html
948987001	20200928	202009	2020	2020.7342											MNCKOR	SAMSUNG	KOR					MNC			1	036	036	03	1	4.0	5	1	5	-0.69204152249135	0							1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200928	https://www.gsmarena.com/week_39_in_review_galaxy_s20_fe_is_official_pixel_5_fully_detailed-news-45489.php
948987005	20200928	202009	2020	2020.7342											NGOUSAJEW	AMIT	USA			JEW		NGO			1	040	040	04	1	1.0	7	1	4	0	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200928	http://www.saharasamay.com/nation-news/676626727/manohar-lal-khattar-meets-amit-shah-discusses-farm-bills-among-o.html
948987006	20200928	202009	2020	2020.7342											NGOUSAJEW	AMIT	USA			JEW		NGO			1	040	040	04	1	1.0	3	1	3	0	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	Haryana, Haryana, India	IN	IN10	29.6161	76.9806	6210381	20200928	http://www.saharasamay.com/nation-news/676626727/manohar-lal-khattar-meets-amit-shah-discusses-farm-bills-among-o.html
948987007	20200928	202009	2020	2020.7342											NGOUSAJEW	AMIT	USA			JEW		NGO			1	046	046	04	1	7.0	22	1	8	0	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200928	http://www.saharasamay.com/nation-news/676626727/manohar-lal-khattar-meets-amit-shah-discusses-farm-bills-among-o.html
948987515	20200928	202009	2020	2020.7342	CHN	CHINA	CHN								HLH	HOSPITAL						HLH			1	090	090	09	2	-2.0	5	1	5	-4.54320987654321	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200928	https://www.washingtonpost.com/graphics/2020/world/coronavirus-deaths-1-million/
948987516	20200928	202009	2020	2020.7342	CHN	CHINA	CHN								HLH	HOSPITAL						HLH			1	090	090	09	2	-2.0	2	1	2	-4.54320987654321	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	4	Manish, Iran (general), Iran	IR	IR00	27.0667	61.2833	-3195759	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200928	https://www.washingtonpost.com/graphics/2020/world/coronavirus-deaths-1-million/
948987539	20200928	202009	2020	2020.7342	CHNHLH	WUHAN	CHN					HLH													0	080	080	08	2	5.0	3	1	3	-4.54320987654321	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200928	https://www.washingtonpost.com/graphics/2020/world/coronavirus-deaths-1-million/
