946237735	20200913	202009	2020	2020.6932											EDU	STUDENT						EDU			0	100	100	10	3	-5.0	40	4	40	-7.65241151185755	0							5	Tamil Nadu, Tamil Nadu, India	IN	IN25	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	11	78	-2112557	20200913	http://www.saharasamay.com/nation-news/676626304/neet-fear-3-medical-college-aspirants-commit-suicide-in-tamil-na.html
946237794	20200913	202009	2020	2020.6932											MED	MEDIA						MED			0	100	100	10	3	-5.0	5	1	5	-4.1958041958042	0							1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200913	https://timesofindia.indiatimes.com/india/reputation-in-india-matters-little-as-does-privacy-says-harish-salve/articleshow/78084485.cms
946237795	20200913	202009	2020	2020.6932											MED	MEDIA						MED			1	173	173	17	4	-5.0	10	1	10	-4.1958041958042	0							1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200913	https://timesofindia.indiatimes.com/india/reputation-in-india-matters-little-as-does-privacy-says-harish-salve/articleshow/78084485.cms
946237995	20200913	202009	2020	2020.6932	BUS	BUSINESS						BUS			MED	MEDIA						MED			0	100	100	10	3	-5.0	5	1	5	-4.1958041958042	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200913	https://timesofindia.indiatimes.com/india/reputation-in-india-matters-little-as-does-privacy-says-harish-salve/articleshow/78084485.cms
946238084	20200913	202009	2020	2020.6932	COP	POLICE						COP			CVL	THE POOR						CVL			1	012	012	01	1	-0.4	10	1	10	-4.1958041958042	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200913	https://timesofindia.indiatimes.com/india/reputation-in-india-matters-little-as-does-privacy-says-harish-salve/articleshow/78084485.cms
946238130	20200913	202009	2020	2020.6932	COPGOV	DEPUTY						COP	GOV		EDU	STUDENT						EDU			1	010	010	01	1	0.0	40	4	40	-7.65241151185755	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	11	78	-2112557	20200913	http://www.saharasamay.com/nation-news/676626304/neet-fear-3-medical-college-aspirants-commit-suicide-in-tamil-na.html
946238135	20200913	202009	2020	2020.6932	CRM	CRIMINAL						CRM			GOV	ATTORNEY GENERAL						GOV			0	051	051	05	1	3.4	10	1	10	-4.1958041958042	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	1	India	IN	IN	20	77	IN	20200913	https://timesofindia.indiatimes.com/india/reputation-in-india-matters-little-as-does-privacy-says-harish-salve/articleshow/78084485.cms
946238292	20200913	202009	2020	2020.6932	ELI	RETIRED						ELI			JUD	COUNSEL						JUD			1	042	042	04	1	1.9	10	1	10	0.71942446043165	4	Vadodara, Gujarat, India	IN	IN09	22.3	73.2	-2114049	4	Vadodara, Gujarat, India	IN	IN09	22.3	73.2	-2114049	4	Vadodara, Gujarat, India	IN	IN09	22.3	73.2	-2114049	20200913	https://timesofindia.indiatimes.com/city/vadodara/old-letters-reveal-mans-30-yr-long-extra-marital-affair/articleshow/78081754.cms
946238435	20200913	202009	2020	2020.6932	GOV	HOME MINIST						GOV													1	010	010	01	1	0.0	119	9	119	0.785873888488647	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200913	http://www.saharasamay.com/nation-news/676626305/weeks-after-discharge-amit-shah-re-admitted-to-aiims.html
946238464	20200913	202009	2020	2020.6932	GOV	GOVERNMENT						GOV													1	071	071	07	2	7.4	40	4	40	-1.32283876978309	1	India	IN	IN	20	77	IN	0							1	India	IN	IN	20	77	IN	20200913	https://timesofindia.indiatimes.com/india/reputation-in-india-matters-little-as-does-privacy-says-harish-salve/articleshow/78084485.cms
946238467	20200913	202009	2020	2020.6932	GOV	HOME MINIST						GOV													1	080	080	08	2	5.0	4	2	4	-4.51480023330417	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200913	http://www.saharasamay.com/nation-news/676626305/weeks-after-discharge-amit-shah-re-admitted-to-aiims.html
946238477	20200913	202009	2020	2020.6932	GOV	HOME MINIST						GOV													1	114	114	11	3	-2.0	18	5	18	-3.93050440474577	4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	0							4	New Delhi, Delhi, India	IN	IN07	28.6	77.2	-2106102	20200913	http://www.saharasamay.com/nation-news/676626305/weeks-after-discharge-amit-shah-re-admitted-to-aiims.html
